FacilityLatitude,FacilityLongitude,FacilityName,AddressStateCode,count,Type,flipID,countyName,fipID
31.95,-97.3830555556,MCCOWN VALLEY,TX,105,EQUESTRIAN ELECTRIC;STANDARD ELECTRIC;TENT ONLY NONELECTRIC;OVERNIGHT SHELTER ELECTRIC;TENT ONLY ELECTRIC,48217,Hill,48217
33.8352777778,-109.081944444,LUNA LAKE,AZ,42,STANDARD NONELECTRIC;GROUP STANDARD NONELECTRIC,04001,Apache,04001
36.4897222222,-92.7727777778,HIGHWAY 125 PARK BULL SHOALS,AR,37,STANDARD ELECTRIC,05089,Marion,05089
43.7883333333,-114.424444444,NORTH FORK (ID),ID,28,STANDARD NONELECTRIC,16013,Blaine,16013
31.745,-88.1430555556,SERVICE,AL,32,STANDARD ELECTRIC;TENT ONLY ELECTRIC,01023,Choctaw,01023
44.398888888900004,-116.899166667,MANN CREEK CAMPGROUND,ID,13,STANDARD NONELECTRIC,16087,Washington,16087
46.244722222200004,-89.31055555559998,SYLVANIA WILDERNESS BACKCOUNTRY CAMPING,MI,50,TENT ONLY NONELECTRIC,26053,Gogebic,26053
43.7566666667,-110.918888889,TETON CANYON,WY,13,STANDARD NONELECTRIC,56039,Teton,56039
38.480277777800005,-111.456388889,ELKHORN CAMPGROUND,UT,8,STANDARD NONELECTRIC;GROUP STANDARD NONELECTRIC,49055,Wayne,49055
41.753113888899996,-111.716344444,SPRING HOLLOW CAMPGROUND,UT,13,GROUP STANDARD AREA NONELECTRIC;STANDARD NONELECTRIC;RV NONELECTRIC;TENT ONLY NONELECTRIC,49005,Cache,49005
40.535277777800005,-110.638055556,YELLOWPINE,UT,17,STANDARD NONELECTRIC;GROUP STANDARD NONELECTRIC,49013,Duchesne,49013
46.3183333333,-90.8583333333,LAKE THREE,WI,8,STANDARD NONELECTRIC,55003,Ashland,55003
35.2675,-83.0194444444,BALSAM LAKE LODGE ,NC,1,CABIN ELECTRIC,37099,Jackson,37099
35.777777777800004,-105.70416666700001,HOLY GHOST GROUP AREA,NM,1,GROUP STANDARD AREA NONELECTRIC,35047,San Miguel,35047
43.12,-110.71666666700001,MCCAIN CABIN,WY,1,CABIN NONELECTRIC,56023,Lincoln,56023
40.1772222222,-111.17333333299999,STRAWBERRY BAY,UT,286,STANDARD NONELECTRIC;RV ELECTRIC;GROUP STANDARD NONELECTRIC;STANDARD ELECTRIC;RV NONELECTRIC,49051,Wasatch,49051
35.1152777778,-112.017222222,WHITE HORSE LAKE Campground,AZ,88,STANDARD NONELECTRIC;TENT ONLY NONELECTRIC;GROUP STANDARD NONELECTRIC,04005,Coconino,04005
41.748333333299996,-93.6875,PRAIRIE FLOWER RECREATION AREA,IA,252,STANDARD ELECTRIC;GROUP STANDARD AREA ELECTRIC,19153,Polk,19153
41.4922222222,-111.943333333,BOX ELDER CAMPGROUND,UT,30,TENT ONLY NONELECTRIC;GROUP TENT ONLY AREA NONELECTRIC;STANDARD NONELECTRIC;GROUP STANDARD AREA NONELECTRIC,49003,Box Elder,49003
31.1169055556,-97.4730527778,LIVE OAK RIDGE,TX,48,STANDARD ELECTRIC,48027,Bell,48027
36.3219444444,-96.1208333333,TALL CHIEF COVE,OK,50,STANDARD ELECTRIC,40113,Osage,40113
44.3475,-115.663055556,RIVER SIDE (ID - BOISE),ID,8,STANDARD NONELECTRIC,16085,Valley,16085
26.7241666667,-81.6927777778,W.P. FRANKLIN N,FL,38,STANDARD ELECTRIC;MOORING,12071,Lee,12071
40.9227777778,-109.357222222,DRIPPING SPRINGS CAMPGROUND (UT),UT,26,STANDARD NONELECTRIC;GROUP STANDARD NONELECTRIC,49009,Daggett,49009
38.2691666667,-112.48583333299999,MAHOGANY COVE CAMPGROUND,UT,8,GROUP STANDARD NONELECTRIC,49001,Beaver,49001
33.2747222222,-94.3477777778,MALDEN LAKE CAMPGROUND,TX,39,STANDARD ELECTRIC,48037,Bowie,48037
40.1227333333,-111.153780556,RENEGADE,UT,61,STANDARD NONELECTRIC;RV NONELECTRIC,49051,Wasatch,49051
47.511944444399994,-94.0438888889,ONEGUME,MN,37,STANDARD ELECTRIC;TENT ONLY NONELECTRIC,27061,Itasca,27061
35.0125,-111.738055556,PINE FLAT CAMPGROUND WEST,AZ,21,STANDARD NONELECTRIC,04005,Coconino,04005
39.446666666700004,-111.273333333,POTTERS POND,UT,19,STANDARD NONELECTRIC;EQUESTRIAN NONELECTRIC;GROUP STANDARD NONELECTRIC,49015,Emery,49015
39.1349666667,-111.422961111,WILLOW LAKE,UT,10,STANDARD NONELECTRIC,49039,Sanpete,49039
40.7691666667,-111.1075,SMITH AND MOREHOUSE,UT,34,STANDARD NONELECTRIC,49043,Summit,49043
37.0036111111,-84.6230555556,WAITSBORO CAMPGROUND,KY,22,STANDARD ELECTRIC;TENT ONLY ELECTRIC;TENT ONLY NONELECTRIC,21199,Pulaski,21199
44.7805555556,-107.53305555600001,NORTH TONGUE,WY,11,STANDARD NONELECTRIC,56033,Sheridan,56033
43.778888888900006,-114.535,EASLEY CAMPGROUND,ID,10,STANDARD NONELECTRIC,16013,Blaine,16013
41.3802777778,-92.96972222219999,NORTH OVERLOOK CAMP,IA,52,STANDARD ELECTRIC;TENT ONLY NONELECTRIC,19125,Marion,19125
39.58,-111.26,LAKE CANYON REC AREA,UT,14,GROUP STANDARD NONELECTRIC;STANDARD NONELECTRIC,49039,Sanpete,49039
39.1847222222,-95.4444444444,LONGVIEW,KS,1,GROUP STANDARD ELECTRIC,20087,Jefferson,20087
42.7644277778,-112.088630556,PEBBLE GUARD STATION,ID,1,CABIN NONELECTRIC,16029,Caribou,16029
33.9280555556,-96.7016666667,CANEY CREEK,OK,52,STANDARD ELECTRIC;TENT ONLY NONELECTRIC,40095,Marshall,40095
37.071388888899996,-84.6891666667,FISHING CREEK CAMPGROUND,KY,46,STANDARD ELECTRIC;TENT ONLY ELECTRIC,21199,Pulaski,21199
34.6991666667,-92.1372222222,WILLOW BEACH,AR,21,STANDARD ELECTRIC,05119,Pulaski,05119
32.5997222222,-97.5,BEAR CREEK,TX,47,STANDARD ELECTRIC;GROUP STANDARD ELECTRIC,48439,Tarrant,48439
36.5936111111,-93.4411111111,MILL CREEK (MISSOURI),MO,67,STANDARD ELECTRIC,29209,Stone,29209
40.20565,-105.844252778,GREEN RIDGE,CO,73,STANDARD NONELECTRIC;TENT ONLY NONELECTRIC;RV NONELECTRIC,08049,Grand,08049
33.844444444400004,-88.53222222219999,BLUE BLUFF CAMPGROUND (ABERDEEN MS),MS,92,STANDARD ELECTRIC,28095,Monroe,28095
39.0997222222,-106.361111111,LAKEVIEW CAMPGROUND,CO,53,STANDARD NONELECTRIC;RV NONELECTRIC,08065,Lake,08065
44.1715583333,-116.120961111,SWINGING BRIDGE,ID,7,RV NONELECTRIC,16085,Valley,16085
40.9505555556,-110.39777777799999,MARSH LAKE CAMPGROUND,UT,46,GROUP TENT ONLY AREA NONELECTRIC;STANDARD NONELECTRIC;TENT ONLY NONELECTRIC,49043,Summit,49043
37.3361111111,-107.915,JUNCTION CREEK CAMPGROUND,CO,30,STANDARD NONELECTRIC;STANDARD ELECTRIC;GROUP STANDARD NONELECTRIC,08067,La Plata,08067
38.5177777778,-109.27388888899999,WARNER LAKE,UT,12,CABIN NONELECTRIC;STANDARD NONELECTRIC;GROUP TENT ONLY AREA NONELECTRIC,49019,Grand,49019
35.5375,-92.1458333333,SHILOH,AR,117,STANDARD NONELECTRIC;STANDARD ELECTRIC;GROUP STANDARD NONELECTRIC,05023,Cleburne,05023
38.7916666667,-80.56638888890001,BULLTOWN CAMP,WV,204,STANDARD ELECTRIC,54007,Braxton,54007
37.5186111111,-112.684722222,DUCK CREEK,UT,60,STANDARD NONELECTRIC;GROUP STANDARD NONELECTRIC,49025,Kane,49025
36.4761111111,-93.0069444444,TUCKER HOLLOW PARK,AR,28,STANDARD ELECTRIC,05009,Boone,05009
43.327777777799994,-111.215,CALAMITY,ID,41,STANDARD NONELECTRIC,16019,Bonneville,16019
31.610208333299997,-97.23658888889999,AIRPORT PARK,TX,75,RV ELECTRIC;TENT ONLY NONELECTRIC;OVERNIGHT SHELTER ELECTRIC;GROUP STANDARD ELECTRIC,48309,McLennan,48309
35.3691666667,-83.3852777778,CHEOAH POINT CABIN 1,NC,1,CABIN NONELECTRIC,37173,Swain,37173
40.5847222222,-106.605555556,TEAL LAKE GROUP CAMPSITE,CO,1,GROUP TENT ONLY AREA NONELECTRIC,08057,Jackson,08057
35.6108333333,-92.1491666667,HILL CREEK,AR,40,STANDARD NONELECTRIC;STANDARD ELECTRIC,05023,Cleburne,05023
40.4038888889,-111.60277777799999,THEATER IN THE PINES,UT,1,GROUP STANDARD NONELECTRIC,49049,Utah,49049
38.1736111111,-119.304166667,CRAGS CAMPGROUND,CA,22,GROUP STANDARD NONELECTRIC;STANDARD NONELECTRIC,06051,Mono,06051
35.751388888899996,-94.9025,ELK CREEK LANDING,OK,41,STANDARD NONELECTRIC;STANDARD ELECTRIC,40021,Cherokee,40021
44.072222222200004,-115.542222222,KIRKHAM,ID,16,STANDARD NONELECTRIC,16015,Boise,16015
44.0616666667,-115.91777777799999,HOT SPRINGS,ID,3,GROUP STANDARD NONELECTRIC,16015,Boise,16015
35.4222,-111.73788888899999,KENDRICK CABIN,AZ,1,CABIN NONELECTRIC,04005,Coconino,04005
35.8169444444,-106.606111111,JEMEZ FALLS (NM) PICNIC AREA,NM,1,GROUP TENT ONLY AREA NONELECTRIC,35043,Sandoval,35043
42.43,-110.58166666700001,SCALER GUARD STATION,WY,1,CABIN NONELECTRIC,56023,Lincoln,56023
44.4175,-112.21666666700001,STODDARD CREEK CAMPGROUND,ID,23,GROUP STANDARD AREA NONELECTRIC;STANDARD NONELECTRIC,16033,Clark,16033
37.9844444444,-120.844722222,COYOTE POINT,CA,1,GROUP STANDARD NONELECTRIC,06099,Stanislaus,06099
44.3641666667,-115.85666666700001,BOILING SPRINGS CABIN,ID,1,CABIN NONELECTRIC,16085,Valley,16085
46.2137194444,-119.013,HOOD PARK,WA,67,STANDARD ELECTRIC,53071,Walla Walla,53071
33.9869444444,-91.3608333333,PENDLETON BEND,AR,31,STANDARD ELECTRIC,05041,Desha,05041
39.5847222222,-106.069444444,PEAK ONE,CO,79,STANDARD NONELECTRIC,08117,Summit,08117
