FacilityLatitude,FacilityLongitude,FacilityName,count,type
37.5730555556,-119.665,WAWONA,99,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC,RV NONELECTRIC,EQUESTRIAN NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC"
37.8711111111,-119.36,TUOLUMNE MEADOWS,315,"TENT ONLY NONELECTRIC,STANDARD NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC,EQUESTRIAN NONELECTRIC"
37.7361111111,-119.5625,UPPER PINES,240,"STANDARD NONELECTRIC,RV NONELECTRIC,TENT ONLY NONELECTRIC"
37.1986111111,-112.986388889,WATCHMAN CAMPGROUND,189,"GROUP TENT ONLY AREA NONELECTRIC,STANDARD ELECTRIC,TENT ONLY NONELECTRIC,RV ELECTRIC,WALK TO"
37.7419444444,-119.565555556,NORTH PINES,93,"STANDARD NONELECTRIC,RV NONELECTRIC"
37.7638888889,-119.84444444399999,CRANE FLAT,166,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC,RV NONELECTRIC"
37.6622222222,-119.61972222200001,BRIDALVEIL CREEK GROUP AND HORSE CAMP,5,"EQUESTRIAN NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC"
40.6255555556,-122.58083333299999,DRY CREEK GROUP CAMPGROUND (Whiskeytown NRA),2,GROUP STANDARD NONELECTRIC
45.0124638889,-86.0947,SOUTH MANITOU GROUP,6,GROUP TENT ONLY AREA NONELECTRIC
44.8916666667,-86.04277777780001,D.H. DAY GROUP,4,GROUP TENT ONLY AREA NONELECTRIC
44.7127777778,-86.1177777778,PLATTE RIVER CAMPGROUND,122,"TENT ONLY NONELECTRIC,STANDARD NONELECTRIC,STANDARD ELECTRIC,GROUP TENT ONLY AREA NONELECTRIC"
37.740833333299996,-119.566666667,LOWER PINES,75,"STANDARD NONELECTRIC,RV NONELECTRIC"
37.798888888899995,-119.865833333,HODGDON MEADOW,108,"GROUP TENT ONLY AREA NONELECTRIC,STANDARD NONELECTRIC,TENT ONLY NONELECTRIC"
36.606711111100005,-118.7258,Lodgepole Campground-Sequoia and Kings Canyon National Park,191,"TENT ONLY NONELECTRIC,WALK TO,STANDARD NONELECTRIC,RV NONELECTRIC"
40.3291666667,-105.59333333299999,GLACIER BASIN CAMPGROUND,161,"TENT ONLY NONELECTRIC,STANDARD NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC"
40.3625,-105.601944444,MORAINE PARK CAMPGROUND,253,"STANDARD NONELECTRIC,WALK TO,TENT ONLY NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC"
38.5286194444,-78.438725,BIG MEADOWS,224,"STANDARD NONELECTRIC,WALK TO,GROUP STANDARD NONELECTRIC"
36.6361111111,-118.809722222,Dorst Creek Campground-Sequoia and Kings Canyon National Par,202,"STANDARD NONELECTRIC,RV NONELECTRIC,WALK TO,TENT ONLY NONELECTRIC,GROUP STANDARD AREA NONELECTRIC"
58.5597222222,-155.778055556,BROOKS CAMP (Search under Permits - Katmai NP),60,TENT ONLY NONELECTRIC
46.767222222200004,-121.79444444399999,COUGAR ROCK CAMPGROUND,188,"STANDARD NONELECTRIC,RV NONELECTRIC,GROUP STANDARD NONELECTRIC"
47.613055555600006,-124.374722222,KALALOCH,168,"RV NONELECTRIC,STANDARD NONELECTRIC"
46.7311111111,-121.57027777799999,OHANAPECOSH CAMPGROUND,195,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC,RV NONELECTRIC"
37.1902777778,-86.0913888889,MAMMOTH CAVE CAMPGROUND,111,"TENT ONLY NONELECTRIC,STANDARD NONELECTRIC,RV ELECTRIC"
37.207222222199995,-86.1316666667,MAPLE SPRINGS,7,"GROUP TENT ONLY AREA NONELECTRIC,EQUESTRIAN ELECTRIC,EQUESTRIAN NONELECTRIC"
34.071666666700004,-116.38916666700001,BLACK ROCK CAMPGROUND,99,"TENT ONLY NONELECTRIC,STANDARD NONELECTRIC"
35.553333333299996,-83.30861111109999,SMOKEMONT CAMPGROUND,142,"STANDARD NONELECTRIC,RV NONELECTRIC"
35.6583333333,-83.5822222222,ELKMONT CAMPGROUND,217,"STANDARD NONELECTRIC,WALK TO,STANDARD ELECTRIC,TENT ONLY NONELECTRIC"
33.9991666667,-116.118055556,SHEEP PASS GROUP,6,GROUP TENT ONLY AREA NONELECTRIC
33.75,-115.825,COTTONWOOD GROUP,3,GROUP TENT ONLY AREA NONELECTRIC
34.12,-116.15583333299999,INDIAN COVE CAMPGROUND,114,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC"
35.4627777778,-83.4344444444,DEEP CREEK GROUP CAMP,3,GROUP TENT ONLY AREA NONELECTRIC
35.7533333333,-83.2086111111,COSBY CAMPGROUND,157,"TENT ONLY NONELECTRIC,RV NONELECTRIC,STANDARD NONELECTRIC"
35.5394444444,-83.2977777778,TOW STRING HORSE CAMP,2,EQUESTRIAN NONELECTRIC
35.6277777778,-83.1125,CATALOOCHEE HORSE CAMP,7,EQUESTRIAN NONELECTRIC
35.6183333333,-83.21,ROUND BOTTOM HORSE CAMP,5,EQUESTRIAN NONELECTRIC
35.7597222222,-83.1041666667,BIG CREEK HORSE CAMP,5,EQUESTRIAN NONELECTRIC
35.6002777778,-83.7672222222,ANTHONY CREEK HORSE CAMP,3,EQUESTRIAN NONELECTRIC
36.2102777778,-112.060555556,NORTH RIM CAMPGROUND,125,"GROUP TENT ONLY AREA NONELECTRIC,STANDARD NONELECTRIC,TENT ONLY NONELECTRIC,WALK TO"
33.47985,-119.029891667,SANTA BARBARA ISLAND,10,TENT ONLY NONELECTRIC
34.0141916667,-119.367788889,ANACAPA ISLAND,7,TENT ONLY NONELECTRIC
36.049722222199996,-112.120469444,MATHER CAMPGROUND,357,"WALK TO,RV NONELECTRIC,STANDARD NONELECTRIC,TENT ONLY NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC,EQUESTRIAN NONELECTRIC"
37.84035,-122.488888889,KIRBY COVE CAMPGROUND,5,TENT ONLY NONELECTRIC
48.7508333333,-113.446944444,ST. MARY CAMPGROUND,146,"STANDARD NONELECTRIC,GROUP STANDARD NONELECTRIC"
35.6025,-83.7766666667,CADES COVE CAMPGROUND,164,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC,STANDARD ELECTRIC"
36.4630555556,-116.86777777799999,FURNACE CREEK,130,"STANDARD NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC,STANDARD ELECTRIC,TENT ONLY NONELECTRIC"
34.0482444444,-119.561597222,SANTA CRUZ SCORPION,31,"TENT ONLY NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC"
34.0108333333,-119.660277778,SANTA CRUZ DEL NORTE BACKCOUNTRY,4,TENT ONLY NONELECTRIC
39.6538888889,-77.4669444444,POPLAR GROVE YOUTH GROUP CAMPGROUND,3,GROUP STANDARD NONELECTRIC
35.6036111111,-83.7705555556,CADES COVE GROUP,4,GROUP TENT ONLY AREA NONELECTRIC
35.1227777778,-75.9261111111,OCRACOKE CAMPGROUND,136,STANDARD NONELECTRIC
25.1386111111,-80.9416666667,FLAMINGO,278,"WALK TO,RV ELECTRIC,STANDARD NONELECTRIC,GROUP WALK TO"
48.5477777778,-113.985277778,FISH CREEK CAMPGROUND,175,"TENT ONLY NONELECTRIC,STANDARD NONELECTRIC"
38.0833333333,-75.2,ASSATEAGUE ISLAND NATIONAL SEASHORE,160,"WALK TO,STANDARD NONELECTRIC,TENT ONLY NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC,EQUESTRIAN NONELECTRIC"
29.1825,-102.960833333,RIO GRANDE VILLAGE (BIG BEND),100,STANDARD NONELECTRIC
35.968055555599996,-81.9322222222,LINVILLE FALLS (BLUE RIDGE PKW),66,"RV NONELECTRIC,TENT ONLY NONELECTRIC,STANDARD NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC"
36.6780555556,-84.51888888890001,BLUE HERON CAMPGROUND,45,STANDARD ELECTRIC
36.487777777800005,-84.6908333333,BANDY CREEK,145,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC,STANDARD ELECTRIC,GROUP STANDARD NONELECTRIC"
36.0730555556,-92.5569444444,BUFFALO POINT,109,"STANDARD ELECTRIC,WALK TO,GROUP TENT ONLY AREA NONELECTRIC"
36.9625,-90.98305555559999,BIG SPRING,132,"STANDARD ELECTRIC,STANDARD NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC"
37.2830555556,-91.40833333329999,ROUND SPRING,64,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC,STANDARD ELECTRIC,GROUP TENT ONLY AREA NONELECTRIC,GROUP STANDARD NONELECTRIC"
36.1388888889,-81.73111111109999,JULIAN PRICE (BLUE RIDGE PKWY),197,"TENT ONLY NONELECTRIC,STANDARD NONELECTRIC,RV NONELECTRIC"
29.275,-103.304166667,CHISOS BASIN (BIG BEND),62,STANDARD NONELECTRIC
40.5291666667,-121.563888889,MANZANITA LAKE,180,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC"
40.4902777778,-121.423611111,SUMMIT LAKE SOUTH,48,"TENT ONLY NONELECTRIC,STANDARD NONELECTRIC"
40.4944444444,-121.425,SUMMIT LAKE NORTH,46,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC"
40.5625,-121.51666666700001,LOST CREEK GROUP,8,GROUP STANDARD NONELECTRIC
38.5505555556,-107.68666666700001,Black Canyon of the Gunnison NP South Rim Campground,57,"STANDARD NONELECTRIC,STANDARD ELECTRIC"
38.4677777778,-107.17583333299999,ELK CREEK CAMPGROUND,81,"STANDARD NONELECTRIC,STANDARD ELECTRIC,TENT ONLY NONELECTRIC"
38.7769444444,-109.589166667,DEVILS GARDEN CAMPGROUND,53,"STANDARD NONELECTRIC,RV NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC"
48.675,-121.261111111,NEWHALEM CAMPGROUND,105,"STANDARD NONELECTRIC,HIKE TO"
48.2863833333,-118.120030556,KETTLE FALLS CAMPGROUND,75,STANDARD NONELECTRIC
47.904602777799994,-118.309152778,FORT SPOKANE,67,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC"
38.4588888889,-107.33,LAKE FORK CAMPGROUND,64,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC"
38.491111111100004,-107.096944444,STEVENS CREEK CAMPGROUND,20,STANDARD NONELECTRIC
38.4852777778,-107.24,RED CREEK GROUP SITE,1,GROUP STANDARD NONELECTRIC
38.4855555556,-107.172222222,EAST ELK CREEK GROUP CAMPSITE,1,GROUP STANDARD NONELECTRIC
37.6344444444,-112.166944444,NORTH CAMPGROUND,102,"RV NONELECTRIC,TENT ONLY NONELECTRIC"
37.1472222222,-91.4497222222,ALLEY SPRING,166,"STANDARD ELECTRIC,STANDARD NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC"
34.4288888889,-96.98972222219999,BUCKHORN CAMPGROUND (OK) CHICKASAW NRA,42,"STANDARD NONELECTRIC,STANDARD ELECTRIC,WALK TO"
34.46,-97.02,THE POINT CAMPGROUND (OK) CHICKASAW NRA,16,"STANDARD ELECTRIC,WALK TO,STANDARD NONELECTRIC"
34.505,-96.9675,COLD SPRINGS GROUP CAMP (OK) CHICKASAW NRA,2,GROUP TENT ONLY AREA NONELECTRIC
34.505,-96.9675,CENTRAL GROUP CAMP (OK) CHICKASAW NRA,10,GROUP TENT ONLY AREA NONELECTRIC
34.505,-96.9675,ROCK CREEK GROUP CAMP (OK) CHICKASAW NRA,1,GROUP TENT ONLY AREA NONELECTRIC
43.5972222222,-123.84027777799999,LOON LAKE RECREATION SITE,52,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC"
29.1369444444,-103.52222222200001,COTTONWOOD (TX),1,GROUP TENT ONLY AREA NONELECTRIC
37.6344444444,-112.166944444,SUNSET CAMPGROUND ,101,"GROUP STANDARD NONELECTRIC,RV NONELECTRIC,TENT ONLY NONELECTRIC"
48.6733333333,-121.26583333299999,LOWER GOODELL GROUP CAMPGROUND,2,GROUP STANDARD AREA NONELECTRIC
48.6733333333,-121.26583333299999,UPPER GOODELL GROUP CAMPGROUND,1,GROUP STANDARD AREA NONELECTRIC
35.402777777800004,-82.7566666667,MOUNT PISGAH CAMPGROUND,128,"TENT ONLY NONELECTRIC,RV NONELECTRIC,STANDARD NONELECTRIC"
40.565,-121.30527777799999,BUTTE LAKE,81,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC"
40.565,-121.30527777799999,BUTTE LAKE GROUP,6,GROUP STANDARD NONELECTRIC
44.5858333333,-122.350833333,OLD MINERS MEADOW GROUP USE,1,GROUP STANDARD NONELECTRIC
47.933055555600006,-118.93907222200001,SPRING CANYON,78,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC"
47.933055555600006,-118.93907222200001,SPRING CANYON GROUP SITE,2,GROUP STANDARD AREA NONELECTRIC
48.702613888900004,-118.114977778,EVANS GROUP CAMP,1,GROUP STANDARD AREA NONELECTRIC
48.5924111111,-118.114977778,KETTLE FALLS LOCUST GROVE GROUP SITE,1,GROUP STANDARD AREA NONELECTRIC
48.2863833333,-118.31190277799999,GIFFORD GROUP SITE,1,GROUP STANDARD AREA NONELECTRIC
48.124625,-118.31190277799999,HUNTERS GROUP SITE,3,"GROUP STANDARD AREA NONELECTRIC,GROUP STANDARD NONELECTRIC"
47.9088027778,-118.31190277799999,FORT SPOKANE GROUP SITE,2,GROUP STANDARD AREA NONELECTRIC
37.9838888889,-120.508055556,TUTTLETOWN RECREATION AREA,163,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC,WALK TO,GROUP STANDARD NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC"
38.0075,-120.54027777799999,GLORY HOLE RECREATION AREA,144,"STANDARD NONELECTRIC,WALK TO"
44.7575,-122.51027777799999,FISHERMENS BEND,60,"GROUP STANDARD ELECTRIC,CABIN ELECTRIC,STANDARD ELECTRIC,TENT ONLY NONELECTRIC,TENT ONLY ELECTRIC"
42.6594444444,-90.7097222222,GRANT RIVER,73,"STANDARD ELECTRIC,TENT ONLY NONELECTRIC"
44.8726222222,-92.24321944440001,HIGHLAND RIDGE,57,"STANDARD ELECTRIC,WALK TO,STANDARD NONELECTRIC,EQUESTRIAN NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC,GROUP STANDARD ELECTRIC"
41.7244444444,-91.5294444444,DAM COMPLEX,172,"STANDARD ELECTRIC,WALK TO,STANDARD NONELECTRIC"
46.016111111099995,-91.0202777778,MOOSE LAKE,9,STANDARD NONELECTRIC
42.2075,-111.49472222200001,PARIS SPRINGS CAMPGROUND,12,"GROUP STANDARD NONELECTRIC,STANDARD NONELECTRIC"
39.3916666667,-105.108888889,INDIAN CREEK EQUESTRIAN CAMPGROUND,7,EQUESTRIAN NONELECTRIC
37.8447222222,-107.88111111100001,MATTERHORN,28,"STANDARD NONELECTRIC,STANDARD ELECTRIC,TENT ONLY NONELECTRIC"
41.167777777800005,-106.2525,KEYSTONE RANGER STATION,1,CABIN ELECTRIC
40.7736111111,-106.73416666700001,SEEDHOUSE GROUP SITES,1,GROUP STANDARD NONELECTRIC
43.9966666667,-71.3672222222,RADEKE CABIN,1,CABIN NONELECTRIC
34.2611111111,-93.1875,CADDO DRIVE,72,"TENT ONLY ELECTRIC,STANDARD ELECTRIC,RV ELECTRIC"
37.280555555599996,-85.2916666667,PIKES RIDGE,60,"STANDARD ELECTRIC,STANDARD NONELECTRIC"
40.9344444444,-109.42416666700001,DUTCH JOHN DRAW CAMPGROUND,1,GROUP STANDARD NONELECTRIC
40.9923138889,-110.389638889,STATELINE,41,"STANDARD NONELECTRIC,RV NONELECTRIC"
35.7536111111,-94.94777777780001,PETTIT BAY,86,"STANDARD NONELECTRIC,STANDARD ELECTRIC"
39.3051944444,-96.6533333333,STOCKDALE,12,STANDARD ELECTRIC
37.3344444444,-91.48305555559999,PULLTITE,58,"GROUP TENT ONLY AREA NONELECTRIC,STANDARD NONELECTRIC"
37.1938888889,-91.2827777778,TWO RIVERS,24,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC,GROUP STANDARD NONELECTRIC"
37.3830555556,-91.5694444444,AKERS,4,GROUP TENT ONLY AREA NONELECTRIC
40.451111111100005,-121.29583333299999,JUNIPER LAKE GROUP,2,GROUP TENT ONLY AREA NONELECTRIC
31.1696388889,-97.4436333333,CEDAR RIDGE (TX),77,"STANDARD ELECTRIC,GROUP STANDARD AREA ELECTRIC,OVERNIGHT SHELTER ELECTRIC,TENT ONLY ELECTRIC"
41.7016666667,-93.68527777780001,BOB SHETLER RECREATION AREA,67,STANDARD ELECTRIC
38.035277777800005,-88.9425,DALE MILLER YOUTH,1,GROUP STANDARD NONELECTRIC
31.581713888899998,-97.2679666667,REYNOLDS CREEK,51,"TENT ONLY NONELECTRIC,STANDARD ELECTRIC,EQUESTRIAN ELECTRIC"
37.3208333333,-86.1291666667,DOG CREEK (KY),70,"STANDARD ELECTRIC,STANDARD NONELECTRIC"
37.6594444444,-93.7830555556,ORLEANS TRAIL,62,"STANDARD NONELECTRIC,STANDARD ELECTRIC,GROUP STANDARD ELECTRIC"
38.6330555556,-97.9875,VENANGO PARK,127,"STANDARD ELECTRIC,STANDARD NONELECTRIC,GROUP STANDARD NONELECTRIC"
48.6030555556,-92.9594444444,RAINY LAKE GROUP CAMPSITE,1,GROUP STANDARD NONELECTRIC
35.553333333299996,-83.30861111109999,SMOKEMONT GROUP CAMP,3,GROUP TENT ONLY AREA NONELECTRIC
35.7522222222,-83.1088888889,BIG CREEK GROUP CAMP,1,GROUP TENT ONLY AREA NONELECTRIC
35.7527777778,-83.2061111111,COSBY GROUP CAMP,3,GROUP TENT ONLY AREA NONELECTRIC
35.6513888889,-83.0744444444,CATALOOCHEE GROUP CAMP,3,GROUP TENT ONLY AREA NONELECTRIC
