FacilityID,FacilityLatitude,FacilityLongitude,FacilityName,count,type
232566,37.3508333333,-83.47277777779999,BUCKHORN CAMPGROUND,35,"TENT ONLY NONELECTRIC,STANDARD ELECTRIC,BOAT IN"
232621,36.4747222222,-92.92194444440001,LEAD HILL,62,STANDARD ELECTRIC
232339,39.0647222222,-105.092222222,SOUTH MEADOWS,64,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC,RV NONELECTRIC"
232228,39.9297222222,-111.64194444399999,PAYSON LAKES,65,"STANDARD NONELECTRIC,GROUP STANDARD NONELECTRIC,RV NONELECTRIC"
232383,43.1913888889,-110.935555556,LITTLE COTTONWOOD GROUP,1,GROUP STANDARD NONELECTRIC
232412,39.5008333333,-111.159444444,FORKS OF HUNTINGTON,1,GROUP STANDARD NONELECTRIC
232552,33.0552777778,-96.4819444444,CLEAR LAKE (TX),24,"STANDARD ELECTRIC,GROUP STANDARD ELECTRIC"
232575,34.6133333333,-84.6238888889,DOLL MT. CAMPGROUND,68,"STANDARD ELECTRIC,TENT ONLY NONELECTRIC,TENT ONLY ELECTRIC"
232618,31.8466666667,-99.57944444440001,LAKESIDE (TX),94,"STANDARD ELECTRIC,OVERNIGHT SHELTER ELECTRIC,GROUP STANDARD ELECTRIC"
232145,37.520277777800004,-108.53055555600001,HOUSE CREEK,37,"STANDARD ELECTRIC,STANDARD NONELECTRIC,GROUP STANDARD NONELECTRIC"
233826,44.4325,-111.426111111,BUTTERMILK,21,"STANDARD NONELECTRIC,STANDARD ELECTRIC,GROUP STANDARD NONELECTRIC"
233414,37.2158333333,-119.968611111,Codorniz Recreation Area Campground,88,"STANDARD NONELECTRIC,STANDARD ELECTRIC,GROUP STANDARD ELECTRIC,RV ELECTRIC,TENT ONLY NONELECTRIC,EQUESTRIAN NONELECTRIC,GROUP EQUESTRIAN"
233445,33.8513888889,-96.5747222222,BURNS RUN EAST,47,"STANDARD ELECTRIC,TENT ONLY NONELECTRIC"
233555,37.2694444444,-95.4583333333,MOUND VALLEY,85,"STANDARD ELECTRIC,STANDARD NONELECTRIC,GROUP STANDARD NONELECTRIC"
234287,34.9416666667,-111.741666667,MANZANITA.,19,TENT ONLY NONELECTRIC
231882,39.1416666667,-106.89166666700001,SILVER BELL,14,"TENT ONLY NONELECTRIC,STANDARD NONELECTRIC,WALK TO"
231886,35.2341666667,-107.701388889,COAL MINE,15,RV NONELECTRIC
232007,38.9175,-79.7711111111,STUART RECREATION AREA,27,"STANDARD ELECTRIC,GROUP STANDARD NONELECTRIC"
232026,37.5919444444,-112.90333333299999,CEDAR CANYON,19,"STANDARD NONELECTRIC,GROUP STANDARD NONELECTRIC"
232041,44.3322222222,-116.173611111,EASTSIDE,1,GROUP STANDARD NONELECTRIC
232080,37.7025,-112.656111111,PANGUITCH LAKE,51,"STANDARD NONELECTRIC,GROUP STANDARD NONELECTRIC,TENT ONLY NONELECTRIC"
232133,48.1322222222,-92.2958333333,JEANETTE LAKE,4,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC"
232211,43.3225,-111.11611111100001,BIG ELK,3,GROUP STANDARD NONELECTRIC
232225,40.1977777778,-111.401388889,BALSAM,26,"TENT ONLY NONELECTRIC,WALK TO,STANDARD NONELECTRIC,GROUP STANDARD NONELECTRIC"
233462,38.497602777800005,-95.71791111110001,COEUR DALENE,56,"STANDARD NONELECTRIC,STANDARD ELECTRIC"
233481,38.25,-95.75,DAM SITE,2,GROUP STANDARD ELECTRIC
233499,46.315,-118.766111111,FISHHOOK PARK,52,"STANDARD ELECTRIC,WALK TO"
233546,34.1763888889,-95.1083333333,LOST RAPIDS,31,"STANDARD NONELECTRIC,STANDARD ELECTRIC,GROUP STANDARD ELECTRIC"
233556,37.3163888889,-86.23305555559999,MOUTARDIER,167,"STANDARD NONELECTRIC,STANDARD ELECTRIC"
233660,34.0355555556,-95.36861111110001,VIRGIL POINT,52,STANDARD ELECTRIC
233769,43.8711111111,-85.92027777780001,GLEASONS LANDING ,6,"TENT ONLY NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC"
233804,37.9677777778,-105.06722222200001,PONDEROSA GROUP - LAKE ISABEL,1,GROUP STANDARD NONELECTRIC
233833,40.6368361111,-105.526947222,JACKS GULCH,3,"EQUESTRIAN NONELECTRIC,GROUP STANDARD ELECTRIC"
233869,40.0,-111.375,DIAMOND,68,"STANDARD NONELECTRIC,WALK TO,GROUP STANDARD AREA NONELECTRIC,RV NONELECTRIC,GROUP WALK TO,GROUP RV AREA NONELECTRIC"
233927,39.7575,-106.560555556,PINEY GUARD STATION,1,CABIN NONELECTRIC
233934,44.4566666667,-109.725833333,REX HALE,29,"STANDARD NONELECTRIC,STANDARD ELECTRIC"
233956,35.2111666667,-112.123833333,DOGTOWN LAKE CAMPGROUND AND GROUP,55,"GROUP STANDARD NONELECTRIC,STANDARD NONELECTRIC"
233593,40.8769444444,-92.8872222222,PRAIRIE RIDGE (RATHBUN LAKE),55,"STANDARD ELECTRIC,GROUP STANDARD NONELECTRIC"
233621,38.6818888889,-96.52486111110001,SANTA FE TRAIL,33,"STANDARD ELECTRIC,STANDARD NONELECTRIC,GROUP STANDARD ELECTRIC"
232651,31.9653055556,-96.69029722219999,OAK (Navarro Mills Lake),49,"STANDARD ELECTRIC,GROUP STANDARD ELECTRIC"
232903,38.6083333333,-82.6166666667,IRON RIDGE - LAKE VESUVIUS,32,"STANDARD ELECTRIC,TENT ONLY ELECTRIC,WALK TO,TENT ONLY NONELECTRIC,STANDARD NONELECTRIC"
233098,34.8294444444,-92.4319444444,MAUMELLE,130,STANDARD ELECTRIC
233429,36.0425,-95.3344444444,BLUE BILL POINT,42,"STANDARD ELECTRIC,STANDARD NONELECTRIC"
233450,38.675,-95.6791666667,CARBOLYN PARK,26,STANDARD ELECTRIC
233453,37.5755555556,-93.68138888889999,CEDAR RIDGE (MO),57,"STANDARD ELECTRIC,STANDARD NONELECTRIC"
232379,43.908611111099994,-115.69638888899999,HAYFORK GROUP CG,1,GROUP STANDARD NONELECTRIC
232513,32.9708333333,-85.2222222222,AMITY,96,"STANDARD ELECTRIC,TENT ONLY NONELECTRIC"
232537,36.6197222222,-87.8830555556,BUMPUS MILLS,15,STANDARD ELECTRIC
233422,38.2216666667,-80.9097222222,BATTLE RUN,117,"STANDARD ELECTRIC,WALK TO"
231907,40.9902777778,-109.58472222200001,LUCERNE CAMPGROUND,139,"STANDARD ELECTRIC,STANDARD NONELECTRIC,CABIN ELECTRIC,GROUP STANDARD NONELECTRIC"
231919,38.527777777800004,-111.745,DOCTOR CREEK,30,"STANDARD NONELECTRIC,GROUP STANDARD NONELECTRIC"
232056,39.0102777778,-86.42888888889999,HARDIN RIDGE,201,"CABIN ELECTRIC,RV ELECTRIC,STANDARD NONELECTRIC,RV NONELECTRIC,STANDARD ELECTRIC,TENT ONLY NONELECTRIC,WALK TO"
232669,33.2263888889,-88.2766666667,PICKENSVILLE CG (PICKENSVILLE AL),176,STANDARD ELECTRIC
232189,47.380555555600004,-91.91638888889999,CADOTTE LAKE,10,STANDARD NONELECTRIC
232687,33.68,-82.2586111111,RIDGE ROAD,69,"STANDARD ELECTRIC,STANDARD NONELECTRIC"
233601,38.5997222222,-97.9333333333,RIVERSIDE (KS),28,"STANDARD ELECTRIC,STANDARD NONELECTRIC"
233534,33.9375,-96.5505555556,LAKESIDE (OK),139,"STANDARD ELECTRIC,TENT ONLY NONELECTRIC"
233545,36.5772222222,-78.55138888890001,LONGWOOD PARK,65,"STANDARD NONELECTRIC,STANDARD ELECTRIC"
232571,33.2594444444,-87.4302777778,DEERLICK CREEK,46,"STANDARD ELECTRIC,TENT ONLY ELECTRIC"
232683,32.9272222222,-85.1638888889,R SHAEFER HEARD,117,STANDARD ELECTRIC
233648,46.4108333333,-94.35138888889999,GULL LAKE RECREATION AREA,42,STANDARD ELECTRIC
233652,41.9808333333,-77.1894444444,TOMPKINS,123,"STANDARD ELECTRIC,STANDARD NONELECTRIC,WALK TO,RV ELECTRIC"
233635,38.2963888889,-93.72638888889999,SPARROWFOOT,83,STANDARD ELECTRIC
233442,36.6619444444,-78.6313888889,BUFFALO PARK,21,"STANDARD ELECTRIC,STANDARD NONELECTRIC"
232718,30.6641666667,-97.36444444440001,TAYLOR,48,STANDARD ELECTRIC
233463,38.656944444400004,-89.26027777780001,COLES CREEK REC AREA,148,"STANDARD ELECTRIC,GROUP STANDARD AREA ELECTRIC"
231838,43.7363888889,-103.702222222,COMANCHE PARK,20,STANDARD NONELECTRIC
231864,40.9363888889,-106.61166666700001,BIG CREEK LAKES CAMPGROUND,24,"STANDARD NONELECTRIC,RV NONELECTRIC,TENT ONLY NONELECTRIC"
233757,46.3008333333,-90.8783333333,BEAVER LAKE,6,STANDARD NONELECTRIC
233946,33.4477777778,-87.3658333333,BURCHFIELD BRANCH PARK,36,"STANDARD ELECTRIC,TENT ONLY ELECTRIC"
234164,44.6508333333,-115.6725,PICNIC POINT (ID),8,WALK TO
234313,35.3597222222,-84.0030555556,SWAN CABIN,1,CABIN NONELECTRIC
232143,34.8436111111,-111.776388889,CHAVEZ CROSSING,3,GROUP STANDARD NONELECTRIC
232157,38.7305555556,-106.74666666700001,ROSY LANE,14,"STANDARD NONELECTRIC,RV ELECTRIC,RV NONELECTRIC"
233731,40.7938888889,-105.905,STUB CREEK CABIN,1,CABIN ELECTRIC
233789,40.6716666667,-110.97166666700001,WASHINGTON LAKE,19,"STANDARD NONELECTRIC,GROUP STANDARD NONELECTRIC,GROUP RV AREA NONELECTRIC"
234139,35.32,-84.0936111111,DONLEY CABIN,1,CABIN NONELECTRIC
234228,35.0786111111,-83.5319444444,STANDING INDIAN CAMPGROUND,82,"STANDARD NONELECTRIC,GROUP STANDARD NONELECTRIC"
234552,40.7723833333,-106.77146666700001,SEEDHOUSE CAMPGROUND,24,STANDARD NONELECTRIC
233474,39.0927777778,-96.955,CURTIS CREEK,89,"STANDARD ELECTRIC,STANDARD NONELECTRIC,TENT ONLY NONELECTRIC"
232423,34.105,-87.32,CORINTH RECREATION AREA,17,STANDARD ELECTRIC
232542,36.7225,-93.5316666667,CAPE FAIR,81,"STANDARD ELECTRIC,STANDARD NONELECTRIC"
232232,39.9005555556,-111.7275,TINNEY FLAT,14,"STANDARD NONELECTRIC,RV NONELECTRIC,GROUP STANDARD NONELECTRIC"
232308,43.967777777799995,-71.5158333333,OSCEOLA VISTA CAMPGROUND,13,"GROUP STANDARD NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC"
232384,36.6847222222,-81.6472222222,BEARTREE,81,"GROUP WALK TO,GROUP RV AREA NONELECTRIC,STANDARD NONELECTRIC"
231914,37.6125,-112.2625,KINGS CREEK,2,"GROUP RV AREA NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC"
232050,44.1475,-114.911944444,GLACIER VIEW CAMPGROUND,64,STANDARD NONELECTRIC
233523,41.8869444444,-77.1791666667,IVES RUN,188,"STANDARD ELECTRIC,STANDARD NONELECTRIC"
234080,46.0072222222,-84.9722222222,BREVOORT LAKE CAMPGROUND,71,STANDARD NONELECTRIC
234593,40.2680555556,-111.580277778,ROCK CANYON,4,GROUP STANDARD NONELECTRIC
