"CountyName";"StateName";"CrimeRate";"fips"
"Bear Lake County";"Bear Lake County";84.1326;"16007.0"
"Beaufort County";"Beaufort County";536.5519;"45013.0"
"Beauregard Parish";"Beauregard Parish";182.4868;"22011.0"
"Beaver County";"Beaver County";319.1958;"42007.0"
"Beaverhead County";"Beaverhead County";74.9384;"30001.0"
"Becker County";"Becker County";81.2494;"27005.0"
"Beckham County";"Beckham County";160.7649;"40009.0"
"Bedford city";"Bedford city";201.7485;"51515.0"
"Bedford County";"Bedford County";383.4339;"47003.0"
"Bee County";"Bee County";182.9324;"48025.0"
"Belknap County";"Belknap County";207.7137;"33001.0"
"Bell County";"Bell County";402.9458;"48027.0"
"Belmont County";"Belmont County";47.4336;"39013.0"
"Beltrami County";"Beltrami County";240.8583;"27007.0"
"Ben Hill County";"Ben Hill County";508.1359;"13017.0"
"Benewah County";"Benewah County";276.4264;"16009.0"
"Bennett County";"Bennett County";260.7184;"46007.0"
"Bennington County";"Bennington County";155.4871;"50003.0"
"Benson County";"Benson County";43.6237;"38005.0"
"Bent County";"Bent County";246.1322;"8011.0"
"Benton County";"Benton County";443.6932;"29015.0"
"Benzie County";"Benzie County";74.5926;"26019.0"
"Bergen County";"Bergen County";93.2642;"34003.0"
"Berkeley County";"Berkeley County";381.9194;"45015.0"
"Berks County";"Berks County";331.7848;"42011.0"
"Berkshire County";"Berkshire County";333.3719;"25003.0"
"Bernalillo County";"Bernalillo County";738.4819;"35001.0"
"Berrien County";"Berrien County";432.2006;"26021.0"
"Bertie County";"Bertie County";152.3791;"37015.0"
"Bethel Census Area";"Bethel Census Area";275.932;"2050.0"
"Bexar County";"Bexar County";431.0606;"48029.0"
"Bibb County";"Bibb County";524.1693;"13021.0"
"Bienville Parish";"Bienville Parish";386.2385;"22013.0"
"Big Horn County";"Big Horn County";214.691;"30003.0"
"Big Stone County";"Big Stone County";0.0;"27011.0"
"Billings County";"Billings County";0.0;"38007.0"
"Bingham County";"Bingham County";147.9355;"16011.0"
"Black Hawk County";"Black Hawk County";430.0394;"19013.0"
"Blackford County";"Blackford County";80.1218;"18009.0"
"Bladen County";"Bladen County";361.6221;"37017.0"
"Blaine County";"Blaine County";328.1917;"16013.0"
"Blair County";"Blair County";254.1286;"42013.0"
"Blanco County";"Blanco County";186.515;"48031.0"
"Bland County";"Bland County";14.8478;"51021.0"
"Bleckley County";"Bleckley County";156.6048;"13023.0"
"Bledsoe County";"Bledsoe County";85.6631;"47007.0"
"Blount County";"Blount County";345.3265;"47009.0"
"Blue Earth County";"Blue Earth County";242.6444;"27013.0"
"Boise County";"Boise County";220.7506;"16015.0"
"Bolivar County";"Bolivar County";155.658;"28011.0"
"Bollinger County";"Bollinger County";136.1089;"29017.0"
"Bon Homme County";"Bon Homme County";0.0;"46009.0"
"Bond County";"Bond County";28.6205;"17005.0"
"Bonner County";"Bonner County";100.7396;"16017.0"
"Bonneville County";"Bonneville County";186.9472;"16019.0"
"Boone County";"Boone County";364.8118;"29019.0"
"Borden County";"Borden County";156.9859;"48033.0"
"Bosque County";"Bosque County";78.4094;"48035.0"
"Bossier Parish";"Bossier Parish";224.514;"22015.0"
"Botetourt County";"Botetourt County";87.8735;"51023.0"
"Bottineau County";"Bottineau County";74.228;"38009.0"
"Boulder County";"Boulder County";169.0061;"8013.0"
"Boundary County";"Boundary County";101.3545;"16021.0"
"Bourbon County";"Bourbon County";457.8508;"20011.0"
"Bowie County";"Bowie County";622.5465;"48037.0"
"Bowman County";"Bowman County";0.0;"38011.0"
"Box Butte County";"Box Butte County";0.0;"31013.0"
"Box Elder County";"Box Elder County";185.0612;"49003.0"
"Boyd County";"Boyd County";165.6916;"21019.0"
"Boyle County";"Boyle County";224.0375;"21021.0"
"Bracken County";"Bracken County";47.5285;"21023.0"
"Bradford County";"Bradford County";484.1713;"12007.0"
"Bradley County";"Bradley County";600.8955;"47011.0"
"Branch County";"Branch County";203.8993;"26023.0"
"Brantley County";"Brantley County";207.7411;"13025.0"
"Braxton County";"Braxton County";193.0768;"54007.0"
"Brazoria County";"Brazoria County";147.7704;"48039.0"
"Brazos County";"Brazos County";418.8734;"48041.0"
"Breathitt County";"Breathitt County";14.7656;"21025.0"
"Breckinridge County";"Breckinridge County";59.8802;"21027.0"
"Bremer County";"Bremer County";194.9318;"19017.0"
"Brevard County";"Brevard County";537.9223;"12009.0"
"Brewster County";"Brewster County";107.689;"48043.0"
"Briscoe County";"Briscoe County";0.0;"48045.0"
"Bristol Bay Borough";"Bristol Bay Borough";104.1667;"2060.0"
"Bristol city";"Bristol city";346.0008;"51520.0"
"Bristol County";"Bristol County";515.3949;"25005.0"
"Broadwater County";"Broadwater County";281.0963;"30007.0"
"Bronx County";"Bronx County";632.0428;"36005.0"
"Brooke County";"Brooke County";105.3208;"54009.0"
"Brookings County";"Brookings County";30.3324;"46011.0"
"Brooks County";"Brooks County";560.7115;"13027.0"
"Broome County";"Broome County";303.2389;"36007.0"
"Broomfield County";"Broomfield County";50.4448;"8014.0"
"Broward County";"Broward County";470.9481;"12011.0"
"Brown County";"Brown County";368.2217;"48049.0"
"Brule County";"Brule County";204.9944;"46015.0"
"Brunswick County";"Brunswick County";146.5729;"37019.0"
"Bryan County";"Bryan County";522.1047;"40013.0"
"Buchanan County";"Buchanan County";382.6801;"29021.0"
"Buckingham County";"Buckingham County";157.563;"51029.0"
"Bucks County";"Bucks County";102.3963;"42017.0"
"Buena Vista city";"Buena Vista city";74.8503;"51530.0"
"Buena Vista County";"Buena Vista County";296.5916;"19021.0"
"Buffalo County";"Buffalo County";110.6634;"31019.0"
"Bullitt County";"Bullitt County";117.1052;"21029.0"
"Bulloch County";"Bulloch County";172.7188;"13031.0"
"Bullock County";"Bullock County";526.3653;"1011.0"
"Buncombe County";"Buncombe County";238.7944;"37021.0"
"Bureau County";"Bureau County";138.008;"17011.0"
"Burke County";"Burke County";658.727;"13033.0"
"Burleigh County";"Burleigh County";275.8402;"38015.0"
"Burleson County";"Burleson County";139.7868;"48051.0"
"Burlington County";"Burlington County";150.8302;"34005.0"
"Burnet County";"Burnet County";171.143;"48053.0"
"Burnett County";"Burnett County";221.744;"55013.0"
"Burt County";"Burt County";60.8458;"31021.0"
"Butler County";"Butler County";554.7432;"29023.0"
"Butte County";"Butte County";307.9833;"6007.0"
"Butts County";"Butts County";278.2415;"13035.0"
"Cabarrus County";"Cabarrus County";111.0957;"37025.0"
"Cabell County";"Cabell County";331.5042;"54011.0"
"Cache County";"Cache County";52.1773;"49005.0"
"Caddo County";"Caddo County";385.2132;"40015.0"
"Caddo Parish";"Caddo Parish";614.7822;"22017.0"
"Calaveras County";"Calaveras County";226.8898;"6009.0"
"Calcasieu Parish";"Calcasieu Parish";504.3626;"22019.0"
"Caldwell County";"Caldwell County";364.4984;"48055.0"
"Caldwell Parish";"Caldwell Parish";240.2643;"22021.0"
"Caledonia County";"Caledonia County";144.4298;"50005.0"
"Calhoun County";"Calhoun County";689.8666;"13037.0"
"Callahan County";"Callahan County";118.2994;"48059.0"
"Callaway County";"Callaway County";261.5027;"29027.0"
"Calloway County";"Calloway County";127.4663;"21035.0"
"Calumet County";"Calumet County";128.988;"55015.0"
"Calvert County";"Calvert County";127.0943;"24009.0"
"Camas County";"Camas County";95.9693;"16025.0"
"Cambria County";"Cambria County";226.3361;"42021.0"
"Camden County";"Camden County";610.3101;"34007.0"
"Cameron County";"Cameron County";258.8215;"48061.0"
"Cameron Parish";"Cameron Parish";29.656;"22023.0"
"Camp County";"Camp County";290.0185;"48063.0"
"Campbell County";"Campbell County";372.7819;"47013.0"
"Canadian County";"Canadian County";450.354;"40017.0"
"Candler County";"Candler County";256.0117;"13043.0"
"Cannon County";"Cannon County";225.0454;"47015.0"
"Canyon County";"Canyon County";216.7234;"16027.0"
"Cape Girardeau County";"Cape Girardeau County";362.1314;"29031.0"
"Cape May County";"Cape May County";265.9103;"34009.0"
"Carbon County";"Carbon County";300.1715;"49007.0"
"Caribou County";"Caribou County";190.9518;"16029.0"
"Carlisle County";"Carlisle County";39.992;"21039.0"
"Carlton County";"Carlton County";132.5437;"27017.0"
"Caroline County";"Caroline County";351.7573;"24011.0"
"Carroll County";"Carroll County";300.8322;"13045.0"
"Carson City";"Carson City";244.0828;"32510.0"
"Carson County";"Carson County";83.1947;"48065.0"
"Carter County";"Carter County";930.0695;"40019.0"
"Carteret County";"Carteret County";293.7137;"37031.0"
"Carver County";"Carver County";62.7865;"27019.0"
"Cascade County";"Cascade County";236.6964;"30013.0"
"Casey County";"Casey County";62.2394;"21045.0"
"Cass County";"Cass County";371.2134;"27021.0"
"Cassia County";"Cassia County";145.7289;"16031.0"
"Castro County";"Castro County";99.6264;"48069.0"
"Caswell County";"Caswell County";267.3566;"37033.0"
"Catahoula Parish";"Catahoula Parish";439.539;"22025.0"
"Catawba County";"Catawba County";311.3494;"37035.0"
"Catoosa County";"Catoosa County";200.5788;"13047.0"
"Catron County";"Catron County";277.2387;"35003.0"
"Cattaraugus County";"Cattaraugus County";190.1333;"36009.0"
"Cavalier County";"Cavalier County";0.0;"38019.0"
"Cayuga County";"Cayuga County";178.668;"36011.0"
"Cecil County";"Cecil County";538.6948;"24015.0"
"Cedar County";"Cedar County";402.5013;"29039.0"
"Centre County";"Centre County";97.8102;"42027.0"
"Cerro Gordo County";"Cerro Gordo County";114.7447;"19033.0"
"Chaffee County";"Chaffee County";54.0249;"8015.0"
"Chambers County";"Chambers County";562.028;"1017.0"
"Champaign County";"Champaign County";560.2815;"17019.0"
"Chariton County";"Chariton County";314.6303;"29041.0"
"Charles City County";"Charles City County";84.1515;"51036.0"
"Charles County";"Charles County";376.1514;"24017.0"
"Charles Mix County";"Charles Mix County";140.6774;"46023.0"
"Charleston County";"Charleston County";402.3573;"45019.0"
"Charlevoix County";"Charlevoix County";145.4323;"26029.0"
"Charlotte County";"Charlotte County";242.2057;"12015.0"
"Charlottesville city";"Charlottesville city";446.4588;"51540.0"
"Charlton County";"Charlton County";135.7978;"13049.0"
"Chase County";"Chase County";259.2593;"20017.0"
"Chatham County";"Chatham County";385.7288;"13051.0"
"Chattahoochee County";"Chattahoochee County";0.0;"13053.0"
"Chattooga County";"Chattooga County";163.0997;"13055.0"
"Chautauqua County";"Chautauqua County";229.1855;"36013.0"
"Chaves County";"Chaves County";549.9597;"35005.0"
"Cheatham County";"Cheatham County";339.3092;"47021.0"
"Cheboygan County";"Cheboygan County";108.8393;"26031.0"
"Chelan County";"Chelan County";156.8267;"53007.0"
"Chemung County";"Chemung County";250.8305;"36015.0"
"Chenango County";"Chenango County";115.1445;"36017.0"
"Cherokee County";"Cherokee County";501.1989;"48073.0"
"Cherry County";"Cherry County";259.1569;"31031.0"
"Chesapeake city";"Chesapeake city";365.1804;"51550.0"
"Cheshire County";"Cheshire County";137.0578;"33005.0"
"Chester County";"Chester County";598.5634;"45023.0"
"Chesterfield County";"Chesterfield County";476.2214;"45025.0"
"Cheyenne County";"Cheyenne County";111.3586;"20023.0"
"Chickasaw County";"Chickasaw County";115.5335;"28017.0"
"Chicot County";"Chicot County";591.0895;"5017.0"
"Childress County";"Childress County";408.7385;"48075.0"
"Chilton County";"Chilton County";354.9407;"1021.0"
"Chippewa County";"Chippewa County";284.2671;"26033.0"
"Chisago County";"Chisago County";79.9836;"27025.0"
"Chittenden County";"Chittenden County";146.6947;"50007.0"
"Choctaw County";"Choctaw County";272.5158;"40023.0"
"Chouteau County";"Chouteau County";102.5816;"30015.0"
"Chowan County";"Chowan County";312.3727;"37041.0"
"Christian County";"Christian County";258.8752;"21047.0"
"Churchill County";"Churchill County";187.0091;"32001.0"
"Cibola County";"Cibola County";720.6878;"35006.0"
"Cimarron County";"Cimarron County";0.0;"40025.0"
"Citrus County";"Citrus County";323.8291;"12017.0"
"Clackamas County";"Clackamas County";104.0532;"41005.0"
"Claiborne County";"Claiborne County";557.6679;"47025.0"
"Claiborne Parish";"Claiborne Parish";450.4505;"22027.0"
"Clallam County";"Clallam County";272.4306;"53009.0"
"Clare County";"Clare County";219.1763;"26035.0"
"Clarendon County";"Clarendon County";550.1383;"45027.0"
"Clarion County";"Clarion County";153.2371;"42031.0"
"Clark County";"Clark County";685.1531;"32003.0"
"Clarke County";"Clarke County";480.0254;"1025.0"
"Clatsop County";"Clatsop County";69.8099;"41007.0"
"Clay County";"Clay County";430.0756;"1027.0"
"Clayton County";"Clayton County";575.2782;"13063.0"
"Clear Creek County";"Clear Creek County";265.7513;"8019.0"
"Clearfield County";"Clearfield County";304.2846;"42033.0"
"Clearwater County";"Clearwater County";139.9091;"16035.0"
"Cleburne County";"Cleburne County";245.2698;"5023.0"
"Clermont County";"Clermont County";78.4145;"39025.0"
"Cleveland County";"Cleveland County";337.8629;"40027.0"
"Clinch County";"Clinch County";529.8013;"13065.0"
