"PlaceId";"Name";"Type";"Capacity";"fips"
2686;"FISH LAKE CAMPGROUND - ROGUE RIVER";"STANDARD NONELECTRIC;WALK TO";20;"41029.0"
2687;"WILLABY CAMPGROUND";"TENT ONLY NONELECTRIC";20;"53027.0"
2688;"TUSHAR LAKESIDE CAMPGROUND";"STANDARD NONELECTRIC;GROUP STANDARD AREA NONELECTRIC";15;"49001.0"
2689;"GENTRY GROUP CAMPGROUND";"GROUP STANDARD NONELECTRIC";1;"4017.0"
2690;"Davis Bayou Campground";"STANDARD ELECTRIC";49;"28059.0"
2691;"THUNDERBIRD GROUP CAMPGROUND";"GROUP STANDARD AREA NONELECTRIC";3;"6107.0"
2692;"CALDWELL FIELDS GROUP CAMPGROUND";"GROUP STANDARD AREA NONELECTRIC";2;"51121.0"
2693;"POLK CAMP";"CABIN NONELECTRIC";1;"2198.0"
2694;"HALFWAY GROUP CAMPGROUND";"GROUP STANDARD AREA NONELECTRIC;GROUP TENT ONLY AREA NONELECTRIC";5;"6107.0"
2695;"NASON CREEK CAMPGROUND";"STANDARD NONELECTRIC;TENT ONLY NONELECTRIC";73;"53007.0"
2696;"EIGHTMILE CAMPGROUND";"STANDARD NONELECTRIC;TENT ONLY NONELECTRIC";24;"53007.0"
2697;"BIG SPRINGS CABIN SITE";"CABIN ELECTRIC";6;"4005.0"
2698;"Maroon Bells Amphitheatre";"GROUP STANDARD AREA NONELECTRIC";1;"8097.0"
2699;"LITTLE OAK CAMPGROUND";"STANDARD NONELECTRIC";65;"47171.0"
2700;"CARDENS BLUFF CAMPGROUND";"TENT ONLY NONELECTRIC;STANDARD NONELECTRIC";41;"47019.0"
2701;"GATEWOOD GROUP";"GROUP TENT ONLY AREA NONELECTRIC";1;"54083.0"
2702;"ICE CAP CAMPGROUND";"STANDARD NONELECTRIC;TENT ONLY NONELECTRIC;WALK TO";20;"41043.0"
2703;"Red Rock Canyon Campground";"STANDARD NONELECTRIC";3;"32003.0"
2704;"EAGLE CREEK CAMPGROUND";"STANDARD NONELECTRIC;TENT ONLY NONELECTRIC";17;"41051.0"
2705;"Bonita Canyon Campground";"STANDARD NONELECTRIC;GROUP TENT ONLY AREA NONELECTRIC;STANDARD ELECTRIC";26;"4003.0"
2706;"KANZA VIEW PICNIC SHELTER";"TENT ONLY NONELECTRIC;STANDARD NONELECTRIC";5;"20127.0"
2707;"KATY BRANCH";"GROUP STANDARD AREA ELECTRIC";1;"47179.0"
2708;"LOOKOUT CAMPGROUND AND BOAT LAUNCH - WILLAMETTE";"STANDARD NONELECTRIC;TENT ONLY NONELECTRIC;WALK TO";20;"41039.0"
2709;"COUGAR CROSSING CAMPGROUND";"STANDARD NONELECTRIC";11;"41039.0"
2710;"WYETH CAMPGROUND";"STANDARD NONELECTRIC;GROUP STANDARD NONELECTRIC";16;"41027.0"
2711;"HIDDEN HORSE EQUESTRIAN CAMPGROUND";"EQUESTRIAN NONELECTRIC";1;"6093.0"
2712;"Yakima River Canyon Campgrounds";"STANDARD NONELECTRIC;TENT ONLY NONELECTRIC;WALK TO";62;"53037.0"
2713;"CIRCLE PARK CAMPGROUND";"STANDARD NONELECTRIC";10;"56019.0"
2714;"Crystal Springs Campground Mid-Sized Group Sites";"GROUP TENT ONLY AREA NONELECTRIC";14;"6019.0"
2715;"HAMPSHIRE ROCKS";"STANDARD NONELECTRIC";31;"6061.0"
2716;"Cottonwood Campground";"STANDARD NONELECTRIC;TENT ONLY NONELECTRIC;GROUP STANDARD NONELECTRIC";37;"38007.0"
2717;"Rohrbach Group Campground";"GROUP TENT ONLY AREA NONELECTRIC";10;"24043.0"
2718;"Roundup Group Horse Camp";"GROUP EQUESTRIAN";1;"38007.0"
2719;"CAMP ROUND MEADOW";"GROUP STANDARD ELECTRIC";2;"24021.0"
